,machine_type,machine_id,label,nan_filenames,traceback,errorid
10,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000002.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
11,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000003.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
12,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000005.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
13,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000006.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
14,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000008.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
15,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000009.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
16,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000010.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 991, in get_Jitter
    absolute = sum_total / ( num_periods - 1 )
ZeroDivisionError: division by zero
",-1337213597578980220
17,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000011.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
18,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000012.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
19,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000013.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
20,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000014.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
21,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000017.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
22,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000018.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
23,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000019.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
24,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000021.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
25,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000022.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
26,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000023.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
27,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000024.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
28,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000025.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
29,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000026.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
30,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000028.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
31,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000029.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
32,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000031.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
33,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000033.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
34,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000034.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
35,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000035.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
36,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000037.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 61, in process_wavfile
    jitter=get_Jitter(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 1000, in get_Jitter
    periods = np.hstack( ( periods[ 0 ], periods, periods[ -1 ] ) )
IndexError: index 0 is out of bounds for axis 0 with size 0
",-3968963014069460206
37,fan,id_00,abnormal,../../../dataset/mimii/fan/id_00/abnormal/00000039.wav,"Traceback (most recent call last):
  File ""unsafe-extract-speech-analysis.py"", line 105, in main
    features = extract(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 87, in extract
    features = process_wavfile(filepath)
  File ""unsafe-extract-speech-analysis.py"", line 58, in process_wavfile
    pulses=get_Pulses(y,sr)
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/Signal_Analysis/features/signal.py"", line 772, in get_Pulses
    periods_interp = np.interp( v_time, f_times, period )
  File ""<__array_function__ internals>"", line 200, in interp
  File ""/home/s2316079/anaconda3/envs/speech-analysis/lib/python3.8/site-packages/numpy/lib/function_base.py"", line 1595, in interp
    return interp_func(x, xp, fp, left, right)
ValueError: array of sample points is empty
",4004303156602753226
